First,Last,Year,Class,Grade
Shalom,Levi,3,Calculus,93.5
Nitzi,Matok,1,Intro to programming,89.0
Chava,Bina,3,Algorithms,77.7
Maor,Katz,2,Automaton,69.5
Maor,Katz,2,Intro to programming,84.0
Rutie,Levana,2,Algorithms,95.6
Boris,Orlov,3,Intro to programming,81.3
Boris,Orlov,3,Calculus,94.2
Carolyin,Zeltzer,1,Intro to programming,96.2
Gadi,Renker,3,Calculus,94.2
Eliezer,Krep,1,Calculus,79.9
Marina,Bergoff,1,Algorithms,78.8
Miri,Boruch,2,Calculus,88.9
Hinon, Chalek,3,Intro to programming,82.0
Shlomit,Chazak,3,Intro to programming,89.0
Moe,Machon,2,Calculus,66.3
